FATAL  | wrapper  | 2017/04/01 15:49:34 | OpenSCManager failed - Access is denied. (0x5)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.apache.james.container.spring.context.JamesServerApplicationContext.<init>(JamesServerApplicationContext.java:40)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.apache.james.app.spring.JamesAppSpringMain.init(JamesAppSpringMain.java:61)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.apache.james.app.spring.JamesAppSpringMain.main(JamesAppSpringMain.java:42)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:17:26 | Caused by: org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.apache.james.container.spring.lifecycle.ConfigurationProviderImpl.getConfiguration(ConfigurationProviderImpl.java:135)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:47)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	... 14 more
STATUS | wrapper  | 2017/04/01 16:17:28 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/04/01 16:19:50 | The Apache James :: Server :: App Service is installed.
STATUS | wrapper  | 2017/04/01 16:19:50 |   Start Type: Automatic
STATUS | wrapper  | 2017/04/01 16:19:50 |   Interactive: No
STATUS | wrapper  | 2017/04/01 16:19:50 |   Running: No
STATUS | wrapper  | 2017/04/01 16:20:02 | The Apache James :: Server :: App service was not running.
STATUS | wrapper  | 2017/04/01 16:20:02 | Starting the Apache James :: Server :: App service...
STATUS | wrapper  | 2017/04/01 16:20:03 | --> Wrapper Started as Service
STATUS | wrapper  | 2017/04/01 16:20:03 | Launching a JVM...
INFO   | jvm 1    | 2017/04/01 16:20:06 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/04/01 16:20:06 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/04/01 16:20:06 | 
INFO   | jvm 1    | 2017/04/01 16:20:07 | INFO  16:20:07,086 | org.apache.james.container.spring.context.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@56b77265: startup date [Sat Apr 01 16:20:07 IST 2017]; root of context hierarchy
INFO   | wrapper  | 2017/04/01 16:20:08 | Waiting to start...
STATUS | wrapper  | 2017/04/01 16:20:10 | Apache James :: Server :: App started.
INFO   | jvm 1    | 2017/04/01 16:20:12 | log4j:WARN No appenders could be found for logger (org.apache.commons.configuration.ConfigurationUtils).
INFO   | jvm 1    | 2017/04/01 16:20:12 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2017/04/01 16:20:12 | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
INFO   | jvm 1    | 2017/04/01 16:20:12 | WARN  16:20:12,059 | org.apache.james.container.spring.context.JamesServerApplicationContext | Exception encountered during context initialization - cancelling refresh attempt
INFO   | jvm 1    | 2017/04/01 16:20:12 | org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:67)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:696)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:686)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:461)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:139)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.context.JamesServerApplicationContext.<init>(JamesServerApplicationContext.java:40)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.app.spring.JamesAppSpringMain.init(JamesAppSpringMain.java:61)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.app.spring.JamesAppSpringMain.main(JamesAppSpringMain.java:42)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | Caused by: org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.lifecycle.ConfigurationProviderImpl.getConfiguration(ConfigurationProviderImpl.java:135)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:47)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	... 14 more
INFO   | jvm 1    | 2017/04/01 16:20:12 | 
INFO   | jvm 1    | 2017/04/01 16:20:12 | WrapperSimpleApp: Encountered an error running main: org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:20:12 | org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:67)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:696)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:686)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:461)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:139)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.context.JamesServerApplicationContext.<init>(JamesServerApplicationContext.java:40)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.app.spring.JamesAppSpringMain.init(JamesAppSpringMain.java:61)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.app.spring.JamesAppSpringMain.main(JamesAppSpringMain.java:42)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:20:12 | Caused by: org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.lifecycle.ConfigurationProviderImpl.getConfiguration(ConfigurationProviderImpl.java:135)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:47)
INFO   | jvm 1    | 2017/04/01 16:20:12 | 	... 14 more
STATUS | wrapper  | 2017/04/01 16:20:14 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/04/01 16:22:28 | The Apache James :: Server :: App Service is installed.
STATUS | wrapper  | 2017/04/01 16:22:28 |   Start Type: Automatic
STATUS | wrapper  | 2017/04/01 16:22:28 |   Interactive: No
STATUS | wrapper  | 2017/04/01 16:22:28 |   Running: No
STATUS | wrapper  | 2017/04/01 16:22:42 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/04/01 16:22:42 | Launching a JVM...
INFO   | jvm 1    | 2017/04/01 16:22:45 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/04/01 16:22:45 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/04/01 16:22:45 | 
INFO   | jvm 1    | 2017/04/01 16:22:46 | INFO  16:22:46,019 | org.apache.james.container.spring.context.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@4ece3b01: startup date [Sat Apr 01 16:22:46 IST 2017]; root of context hierarchy
INFO   | jvm 1    | 2017/04/01 16:22:51 | log4j:WARN No appenders could be found for logger (org.apache.commons.configuration.ConfigurationUtils).
INFO   | jvm 1    | 2017/04/01 16:22:51 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2017/04/01 16:22:51 | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
INFO   | jvm 1    | 2017/04/01 16:22:51 | WARN  16:22:51,032 | org.apache.james.container.spring.context.JamesServerApplicationContext | Exception encountered during context initialization - cancelling refresh attempt
INFO   | jvm 1    | 2017/04/01 16:22:51 | org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:67)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:696)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:686)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:461)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:139)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.context.JamesServerApplicationContext.<init>(JamesServerApplicationContext.java:40)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.app.spring.JamesAppSpringMain.init(JamesAppSpringMain.java:61)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.app.spring.JamesAppSpringMain.main(JamesAppSpringMain.java:42)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | Caused by: org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.lifecycle.ConfigurationProviderImpl.getConfiguration(ConfigurationProviderImpl.java:135)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:47)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	... 14 more
INFO   | jvm 1    | 2017/04/01 16:22:51 | 
INFO   | jvm 1    | 2017/04/01 16:22:51 | WrapperSimpleApp: Encountered an error running main: org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:22:51 | org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:67)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:696)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:686)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:461)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:139)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.context.JamesServerApplicationContext.<init>(JamesServerApplicationContext.java:40)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.app.spring.JamesAppSpringMain.init(JamesAppSpringMain.java:61)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.app.spring.JamesAppSpringMain.main(JamesAppSpringMain.java:42)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2017/04/01 16:22:51 | Caused by: org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.lifecycle.ConfigurationProviderImpl.getConfiguration(ConfigurationProviderImpl.java:135)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:47)
INFO   | jvm 1    | 2017/04/01 16:22:51 | 	... 14 more
STATUS | wrapper  | 2017/04/01 16:22:53 | <-- Wrapper Stopped
